time,pos1,pos2,vel1,vel2,tau1,tau2
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-9.257736113785806431e-04
1.000404034746104828e-02,0.000000000000000000e+00,0.000000000000000000e+00,5.712259410018519267e-04,-1.119949041903561208e-03,0.000000000000000000e+00,-1.004201966770280479e-04
4.849887521846438232e-02,2.198924872770894004e-05,-4.311225432372024920e-05,8.096506137855031919e-04,-1.587405900361206013e-03,0.000000000000000000e+00,-6.546376558789985872e-04
9.736915535910603547e-02,6.155710097598040545e-05,-1.206892252468464121e-04,2.692757141645564685e-03,-5.295621716688000968e-03,0.000000000000000000e+00,-1.455339925916942223e-01
1.973691553591060410e-01,3.308328151405368631e-04,-6.502513969156464195e-04,8.997958067685207784e-01,-1.764254013902047946e+00,0.000000000000000000e+00,3.093558574943510719e-01
2.973691553591060188e-01,9.031041349199261936e-02,-1.770756527871204244e-01,-1.011068466346330963e+00,1.981703758950624783e+00,0.000000000000000000e+00,4.666355902076921858e-01
3.973691553591059966e-01,-1.079643314263428050e-02,2.109472310794203651e-02,-4.606059982091566418e+00,8.893281432823670229e+00,0.000000000000000000e+00,4.880690860269897707e-02
4.073691553591060055e-01,-5.685703296354994302e-02,1.100275374361787267e-01,-4.622694358424705996e+00,8.927333594929637073e+00,0.000000000000000000e+00,4.973939965137720576e-02
4.173691553591060144e-01,-1.030839765477969960e-01,1.993008733854750858e-01,-4.582985430185959608e+00,8.857254496006314426e+00,0.000000000000000000e+00,2.907199351453535474e-01
5.173691553591059922e-01,-5.613825195663930678e-01,1.085026322986106351e+00,-5.093262425019063677e+00,1.000000000000000000e+01,0.000000000000000000e+00,1.042446658298325834e+00
6.173691553591059700e-01,-1.070708762068299347e+00,2.085026322986106795e+00,-4.616439572727109919e+00,1.000000000000000000e+01,0.000000000000000000e+00,8.128452802620204920e-02
6.273691553591059789e-01,-1.116873157795570615e+00,2.185026322986106440e+00,-4.116992183551376527e+00,9.345451631076896248e+00,0.000000000000000000e+00,7.673857450872514918e-02
6.373691553591059877e-01,-1.158043079631084105e+00,2.278480839296875171e+00,-3.616831207944000148e+00,8.727046894869237903e+00,0.000000000000000000e+00,7.250048298378970746e-02
6.473691553591059966e-01,-1.194211391710524151e+00,2.365751308245567675e+00,-3.113812528098738319e+00,8.137627733315509815e+00,0.000000000000000000e+00,6.849989952141408156e-02
6.573691553591060055e-01,-1.225349516991511623e+00,2.447127585578722897e+00,-2.607039702735364006e+00,7.571278530766630155e+00,0.000000000000000000e+00,4.400118743978784219e-01
7.573691553591059833e-01,-1.486053487265048156e+00,3.204255438655386090e+00,1.669161062026194076e+00,3.665899217745264504e+00,0.000000000000000000e+00,3.772451110513258543e-02
7.673691553591059922e-01,-1.469361876644786236e+00,3.240914430832838811e+00,2.138826911647623952e+00,3.199604562660996798e+00,0.000000000000000000e+00,3.509411700339993417e-02
7.773691553591060011e-01,-1.447973607528309836e+00,3.272910476459448770e+00,2.602597141422722693e+00,2.738490186166737672e+00,0.000000000000000000e+00,3.242142975209379163e-02
7.873691553591060099e-01,-1.421947636114082592e+00,3.300295378321115969e+00,3.061822245002281395e+00,2.283173487821613445e+00,0.000000000000000000e+00,2.984355158066854391e-02
7.973691553591060188e-01,-1.391329413664059933e+00,3.323127113199332072e+00,3.517676743581419352e+00,1.834525696897773450e+00,0.000000000000000000e+00,2.732549749166263489e-02
8.073691553591060277e-01,-1.356152646228245828e+00,3.341472370168310224e+00,3.971082667683857093e+00,1.393588364168233840e+00,0.000000000000000000e+00,2.483315413058233279e-02
8.173691553591060366e-01,-1.316441819551407155e+00,3.355408253809992303e+00,4.422622260681543516e+00,9.615543726706713423e-01,0.000000000000000000e+00,2.237949227827101123e-02
8.273691553591060455e-01,-1.272215596944591631e+00,3.365023797536699224e+00,4.872460784250851162e+00,5.397629048905168148e-01,0.000000000000000000e+00,2.000433669875403830e-02
8.373691553591060543e-01,-1.223490989102083093e+00,3.370421426585604063e+00,5.320287815508284446e+00,1.296816804766948994e-01,0.000000000000000000e+00,1.765396395739966470e-02
8.473691553591060632e-01,-1.170288110947000249e+00,3.371718243390370962e+00,5.765293850109358686e+00,-2.671629388162441443e-01,0.000000000000000000e+00,1.542588983228071302e-02
8.573691553591060721e-01,-1.112635172445906706e+00,3.369046614002208617e+00,6.206105037615019526e+00,-6.491650872819361151e-01,0.000000000000000000e+00,1.319883738870674707e-02
8.673691553591060810e-01,-1.050574122069756422e+00,3.362554963129389396e+00,6.640802010865582972e+00,-1.014766722272113730e+00,0.000000000000000000e+00,1.107289249750654202e-02
8.773691553591060899e-01,-9.841661019611005479e-01,3.352407295906667972e+00,7.066858839622057964e+00,-1.362415234864477354e+00,0.000000000000000000e+00,9.013534855365813031e-03
8.873691553591060988e-01,-9.134975135648800704e-01,3.338783143558023081e+00,7.481168487727600791e+00,-1.690660050954439164e+00,0.000000000000000000e+00,7.035373337263278216e-03
8.973691553591061076e-01,-8.386858286876041069e-01,3.321876543048479125e+00,7.880050245648391183e+00,-1.998174561719063158e+00,0.000000000000000000e+00,5.128166437531203083e-03
9.073691553591061165e-01,-7.598853262311202617e-01,3.301894797431288442e+00,8.259297720417833943e+00,-2.283800703760068274e+00,0.000000000000000000e+00,3.310487190097884894e-03
9.173691553591061254e-01,-6.772923490269417979e-01,3.279056790393687582e+00,8.614247552340891900e+00,-2.546562723930945182e+00,0.000000000000000000e+00,1.604934347083134503e-03
9.273691553591061343e-01,-5.911498735035328744e-01,3.253591163154378130e+00,8.939889761350638508e+00,-2.785677205481635887e+00,0.000000000000000000e+00,-6.858951745933425555e-05
9.373691553591061432e-01,-5.017509758900265959e-01,3.225734391099561726e+00,9.231039164924096596e+00,-3.000588143818757825e+00,0.000000000000000000e+00,-1.672919172309208060e-03
9.473691553591061520e-01,-4.094405842407855545e-01,3.195728509661374339e+00,9.482499419716605260e+00,-3.190898756711862738e+00,0.000000000000000000e+00,-3.172123510009156652e-03
9.573691553591061609e-01,-3.146155900436195529e-01,3.163819522094255543e+00,9.689282188221778114e+00,-3.356332389679955508e+00,0.000000000000000000e+00,-4.593721647419828080e-03
9.673691553591061698e-01,-2.177227681614017363e-01,3.130256198197455930e+00,9.846858990708781789e+00,-3.496703564811013187e+00,0.000000000000000000e+00,-5.957359949275223276e-03
9.773691553591061787e-01,-1.192541782543139056e-01,3.095289162549345718e+00,9.951402012265766928e+00,-3.611853511220331825e+00,0.000000000000000000e+00,-7.233858228101886466e-03
9.873691553591061876e-01,-1.974015813165622482e-02,3.059170627437142631e+00,1.000000000000000000e+01,-3.701570486047008668e+00,0.000000000000000000e+00,-5.287335883339996934e-02
1.018863586799242160e+00,2.952041562697043653e-01,2.942591769533312807e+00,1.000000000000000000e+01,-3.957295579270696084e+00,0.000000000000000000e+00,-1.717661174995910589e-01
1.028863586799242169e+00,3.952041562697043431e-01,2.903018813740605442e+00,9.842724918792425726e+00,-4.001190826709628112e+00,0.000000000000000000e+00,-1.269784992285978964e+00
1.128863586799242258e+00,1.379476648148947104e+00,2.502899731069642808e+00,1.000000000000000000e+01,-8.451543307918322867e+00,0.000000000000000000e+00,-1.507894334679580062e-01
1.138863586799242267e+00,1.479476648148947193e+00,2.418384297990459508e+00,9.392730424599175620e+00,-8.263454883777987092e+00,0.000000000000000000e+00,-1.490105554340017124e-01
1.148863586799242276e+00,1.573403952394938798e+00,2.335749749152679744e+00,8.798963232851955141e+00,-8.058224608814491319e+00,0.000000000000000000e+00,-1.471065393774178554e-01
1.158863586799242285e+00,1.661393584723458217e+00,2.255167503064535062e+00,8.226571325905327470e+00,-7.834784686584667313e+00,0.000000000000000000e+00,-1.447156988432833358e-01
1.168863586799242293e+00,1.743659297982511625e+00,2.176819656198687891e+00,7.680141287879022727e+00,-7.592774242245022620e+00,0.000000000000000000e+00,-1.420083711414117100e-01
1.178863586799242302e+00,1.820460710861301790e+00,2.100891913776238074e+00,7.161736955539214300e+00,-7.332473537126028340e+00,0.000000000000000000e+00,-1.389642266767461554e-01
1.188863586799242311e+00,1.892078080416694119e+00,2.027567178404977799e+00,6.671513190400964355e+00,-7.054479800123935718e+00,0.000000000000000000e+00,-1.356315045043252066e-01
1.198863586799242320e+00,1.958793212320703470e+00,1.957022380403738104e+00,6.208324492057993638e+00,-6.759558976268984054e+00,0.000000000000000000e+00,-1.320351942667638556e-01
1.208863586799242329e+00,2.020876457241283841e+00,1.889426790641048459e+00,5.770207116545757131e+00,-6.448521226872591328e+00,0.000000000000000000e+00,-1.281787162951195658e-01
1.218863586799242338e+00,2.078578528406741288e+00,1.824941578372322404e+00,5.354748031084369586e+00,-6.122148117099154518e+00,0.000000000000000000e+00,-1.240844748703861938e-01
1.228863586799242347e+00,2.132126008717584398e+00,1.763720097201330939e+00,4.959360660063078186e+00,-5.781176990759325562e+00,0.000000000000000000e+00,-1.198087263322673290e-01
1.238863586799242356e+00,2.181719615318215233e+00,1.705908327293737647e+00,4.581479659717221153e+00,-5.426319136409555988e+00,0.000000000000000000e+00,-1.153489455567330013e-01
1.248863586799242364e+00,2.227534411915387480e+00,1.651645135929642016e+00,4.218664363649430094e+00,-5.058243425237376911e+00,0.000000000000000000e+00,-1.107456661198711473e-01
1.258863586799242373e+00,2.269721055551882305e+00,1.601062701677268274e+00,3.868680598238272594e+00,-4.677617355647652353e+00,0.000000000000000000e+00,-6.667624782033467756e-01
1.358863586799242462e+00,2.656589115375709298e+00,1.133300966112503083e+00,2.145031514530881811e+00,-3.988232974031104661e+00,0.000000000000000000e+00,-4.441026777788716351e-01
1.458863586799242551e+00,2.871092266828797701e+00,7.344776687093925727e-01,1.320942441209686624e+00,-2.978724211576180281e+00,0.000000000000000000e+00,-2.768350124754087038e-01
1.558863586799242640e+00,3.003186510949765964e+00,4.366052475517745446e-01,7.626673828469796579e-01,-1.960698449488692763e+00,0.000000000000000000e+00,-1.575044635920781755e-01
1.658863586799242729e+00,3.079453249234463730e+00,2.405354026029052628e-01,3.859898040279850506e-01,-1.152561082233680034e+00,0.000000000000000000e+00,-8.227039402375882493e-02
1.758863586799242817e+00,3.118052229637262585e+00,1.252792943795372482e-01,1.833892840444252825e-01,-6.518747973248186778e-01,0.000000000000000000e+00,-7.626962973221755072e-03
1.768863586799242826e+00,3.119886122477706802e+00,1.187605464062890664e-01,1.548481842492727689e-01,-5.864543155043906442e-01,0.000000000000000000e+00,-3.663069510759425079e-02
1.868863586799242915e+00,3.135370940902634462e+00,6.011511485584999925e-02,6.663670141039326755e-02,-3.210028128041903517e-01,0.000000000000000000e+00,-1.460239354597713847e-02
1.941973269824486037e+00,3.140242729278215350e+00,3.664670052502611713e-02,3.254495695657029508e-02,-2.036497058727887721e-01,0.000000000000000000e+00,-6.243470167531605872e-03
1.992727646036458022e+00,3.141894528269008724e+00,2.631058673849346816e-02,1.578916623520409956e-02,-1.435984221465813060e-01,0.000000000000000000e+00,-4.930542700297463679e-03
2.092727646036458111e+00,3.143473444892529223e+00,1.195074452383533721e-02,1.036760357138406590e-03,-7.022055980051131185e-02,0.000000000000000000e+00,-5.726590840312160069e-04
2.107288278262351433e+00,3.143488540778795581e+00,1.092828877788336837e-02,-1.930711819064039839e-04,-6.367366228745575951e-02,0.000000000000000000e+00,-5.634446804398517833e-04
2.126849166762053933e+00,3.143484764134917508e+00,9.682775369540473978e-03,-1.487215114987420041e-03,-5.589361177038604245e-02,0.000000000000000000e+00,-6.792493178004691424e-04
2.226710722763135752e+00,3.143336248514136955e+00,4.101152337810665127e-03,-5.193376851869993364e-03,-2.391399718038133768e-02,0.000000000000000000e+00,-4.272969046816262940e-06
2.258943513708417061e+00,3.143168851485684367e+00,3.330337462275113642e-03,-4.774284663920397125e-03,-1.992624805357089482e-02,0.000000000000000000e+00,-1.940167500223672522e-06
2.269169956373112917e+00,3.143120027537263272e+00,3.126562829106358053e-03,-4.586871068796649110e-03,-1.897736064579567949e-02,0.000000000000000000e+00,2.100918255829467107e-04
2.316073377679004341e+00,3.142904887591022156e+00,2.236459687507706684e-03,-4.283390986458084256e-03,-1.379920369670011374e-02,0.000000000000000000e+00,-3.917116293432321410e-05
2.326327331144666388e+00,3.142860965898526260e+00,2.094963296166281637e-03,-4.005628409460428030e-03,-1.333484094640592470e-02,0.000000000000000000e+00,5.372883638639440576e-05
2.338066135270123080e+00,3.142813944610314714e+00,1.938428211973887514e-03,-3.750716057391698458e-03,-1.273102583533879117e-02,0.000000000000000000e+00,6.071880400118959652e-05
2.348599900404997776e+00,3.142774435448135950e+00,1.804322576147235520e-03,-3.521543862106464150e-03,-1.224033129786965789e-02,0.000000000000000000e+00,1.259340144045169307e-04
2.368937085918868757e+00,3.142702817157315032e+00,1.555388687794017483e-03,-3.151899402373775898e-03,-1.123266263139404211e-02,0.000000000000000000e+00,4.868687884906459863e-04
2.435073232893638639e+00,3.142494362675179342e+00,8.125036611275270829e-04,-3.362254041238926620e-03,-5.678877886139637073e-03,0.000000000000000000e+00,1.568824798394819029e-04
2.455576690225824699e+00,3.142425424842910875e+00,6.960670306799658126e-04,-2.949475328980735462e-03,-5.344677541033140966e-03,0.000000000000000000e+00,2.111743998908935187e-04
2.486508718480498370e+00,3.142334191588691983e+00,5.307453139832674473e-04,-2.470997246737687524e-03,-4.717036536466550842e-03,0.000000000000000000e+00,8.169758732910235919e-05
2.496511048832259494e+00,3.142309475857935741e+00,4.835639562552031733e-04,-2.251809254419818128e-03,-4.710503463809500788e-03,0.000000000000000000e+00,7.286623088108157699e-05
2.506511310329148312e+00,3.142286957176606776e+00,4.364576897157486650e-04,-2.030968775185268589e-03,-4.726660657640967440e-03,0.000000000000000000e+00,5.268784058686308786e-05
2.517216867759593857e+00,3.142265214523762840e+00,3.858561525519993126e-04,-1.784103549806578077e-03,-4.784048666652239434e-03,0.000000000000000000e+00,7.280851805599215939e-05
2.527247037297901677e+00,3.142247319662713423e+00,3.378713332825147636e-04,-1.566948797476189550e-03,-4.828674278577378860e-03,0.000000000000000000e+00,5.321388559857019498e-04
2.627247037297901766e+00,3.142090624782965858e+00,-1.449960945752231604e-04,-2.237582988793422253e-03,1.232326504420917909e-04,0.000000000000000000e+00,2.746638649504821376e-04
2.688476553249781631e+00,3.141953618659654168e+00,-1.374506190245080651e-04,-1.621717497842582864e-03,2.072517492307717824e-04,0.000000000000000000e+00,4.580510669564614621e-05
2.698610105860130837e+00,3.141937184900073010e+00,-1.353504225283615116e-04,-1.446207328490437677e-03,1.272211463669383589e-05,0.000000000000000000e+00,8.306138392247288380e-05
2.718710230066355038e+00,3.141908115953165215e+00,-1.350947065233934377e-04,-1.161218159468309537e-03,-2.642145261321560460e-04,0.000000000000000000e+00,2.829916209628110797e-04
2.810281636561563712e+00,3.141801781572846508e+00,-1.592892017606458278e-04,-1.123043481435220033e-03,8.197826172126961193e-04,0.000000000000000000e+00,9.075779878434197363e-05
2.849731537620864952e+00,3.141757477618615457e+00,-1.269488586150580858e-04,-8.276772350067774630e-04,5.266682305913306366e-04,0.000000000000000000e+00,7.588038566331935307e-05
2.879778074280809452e+00,3.141732608784504777e+00,-1.111243028651579087e-04,-6.576850735342285948e-04,3.643609811582500116e-04,0.000000000000000000e+00,3.323301081925048256e-05
2.893518213515073878e+00,3.141723572099998751e+00,-1.061179322089818289e-04,-5.644260504486232856e-04,2.471601307605285564e-04,0.000000000000000000e+00,1.881363469206609972e-05
2.914513351777245020e+00,3.141711721896959020e+00,-1.009287709485381023e-04,-4.144243708485693977e-04,4.614901795930072151e-05,0.000000000000000000e+00,-2.789266397692422006e-05
2.925624625965272507e+00,3.141707117114098224e+00,-1.004159964628111972e-04,-3.105120346781769809e-04,-1.135810186753601905e-04,0.000000000000000000e+00,1.394263427274661205e-04
3.025624625965272596e+00,3.141676065910630200e+00,-1.117740983303472325e-04,-4.307952312109801962e-04,4.973929028159419438e-04,0.000000000000000000e+00,1.326839013313093900e-05
3.035895381463979970e+00,3.141671641318128927e+00,-1.066654974091312409e-04,-3.768037406436017776e-04,4.131330995587134767e-04,0.000000000000000000e+00,4.975203239657515576e-05
3.077968098010999132e+00,3.141655788161148877e+00,-8.928386560008216356e-05,-2.632537835870567538e-04,2.737153174286038599e-04,0.000000000000000000e+00,6.866643950612483607e-05
3.163443155260384110e+00,3.141633286528917157e+00,-6.588803316113613973e-05,-2.251140325277729555e-04,3.284301228889170850e-04,0.000000000000000000e+00,4.075878355986632868e-05
3.233351300203596068e+00,3.141617549224502426e+00,-4.292809252603326219e-05,-1.797754794580473940e-04,2.980705423881581471e-04,0.000000000000000000e+00,1.767365371682179571e-05
3.333351300203596157e+00,3.141599571676556124e+00,-1.312103828721745020e-05,-9.047899794586771686e-05,1.701104609465562431e-04,0.000000000000000000e+00,-3.120875149222154305e-06
3.383395089650611087e+00,3.141595043764633832e+00,-4.608066196877709689e-06,-5.221065267001929729e-05,1.006579684381508888e-04,0.000000000000000000e+00,-1.526418359134926111e-05
3.429174537308075976e+00,3.141592653589793116e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
